id,FACULTAD,AÑO,DEPARTAMENTOS,TOTAL ALUMNOS PREGRADO,ALUMNOS NUEVOS PREGRADO,JCE DR/JCE (i),N° DE CARRERAS DIURNAS,TASA DE TITULACIÓN,TASA DE RETENCIÓN 1ER AÑO,N° DE PROYECTOS ANID,N° PUBLICA WOS Y SCIELO
2025-Bachillerato en Ciencias y Humanidades,VICERRECTORIA ACADEMICA,2025,Bachillerato en Ciencias y Humanidades,273,161,"0,69",1,"0,00","0,78",,
2025-Escuela de Kinesiologia,FACIMED,2025,Escuela de Kinesiologia,242,50,"0,16",1,"0,44","0,90",,
2025-Escuela de Terapia Ocupacional,FACIMED,2025,Escuela de Terapia Ocupacional,198,42,"0,08",1,"0,80","0,91",,
2025-Facultad de Derecho,DERECHO,2025,Facultad de Derecho,897,201,"0,15",1,"0,00","0,80",,
2025-Departamento de Biologia,FQYB,2025,Departamento de Biologia,209,43,"0,47",1,-,"0,85",,
2025-Escuela de Medicina,FACIMED,2025,Escuela de Medicina,381,48,"0,13",1,"0,78","0,96",,
2025-Escuela de Obstetricia y Puericultura,FACIMED,2025,Escuela de Obstetricia y Puericultura,275,40,"0,15",1,"0,29","0,92",,
2025-Escuela de Periodismo,FAHU,2025,Escuela de Periodismo,292,57,"0,30",1,"0,63","0,82",,
2025-Escuela de Psicologia,FAHU,2025,Escuela de Psicologia,419,76,"0,31",1,"0,63","0,89",,
2025-Facultad de Ingenieria,FING,2025,Facultad de Ingenieria,635,220,"0,00",3,"0,09","0,45",,
2025-Departamento de Ciencias del Ambiente,FQYB,2025,Departamento de Ciencias del Ambiente,0,0,"0,48",0,-,-,,
2025-Facultad de Ciencias Medicas,FACIMED,2025,Facultad de Ciencias Medicas,0,0,"0,18",0,"0,32",-,,
